Strike,Contract Name,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
47.5,JPM170217C00047500,38.19,38.4,39.25,0,0.00%,20,37,0.00%
59,JPM170217C00059000,26.3,27.75,28.4,0,0.00%,2,1,0.00%
60,JPM170217C00060000,27.08,26.9,27.45,0.58,2.19%,2,11,0.00%
62.5,JPM170217C00062500,22.5,22.3,24.2,0,0.00%,3,3,0.00%
66,JPM170217C00066000,20.75,20.9,21,0,0.00%,7,7,0.00%
67.5,JPM170217C00067500,20.75,20.5,21.1,3.6,20.99%,1,27,124.81%
70,JPM170217C00070000,18.25,18,18.65,1.25,7.35%,1,225,113.48%
72.5,JPM170217C00072500,14.65,14.45,14.6,0.4,2.81%,7,164,0.00%
75,JPM170217C00075000,13.48,13.05,13.2,1.53,12.80%,1,332,67.97%
76,JPM170217C00076000,9.5,11.05,11.4,0,0.00%,1,1,0.00%
77.5,JPM170217C00077500,11,10.55,10.7,1.15,11.68%,13,"2,696",55.86%
79.5,JPM170217C00079500,4.53,7.2,7.65,0,0.00%,56,41,0.00%
80,JPM170217C00080000,8.22,8.05,8.2,1.17,16.60%,72,"3,742",44.14%
81,JPM170217C00081000,7.52,7.05,7.7,1.67,28.55%,1,68,54.10%
81.5,JPM170217C00081500,4.36,5.4,5.95,0,0.00%,1,20,0.00%
82,JPM170217C00082000,3.85,4.95,5.45,0,0.00%,7,55,0.00%
82.5,JPM170217C00082500,5.78,5.6,5.7,1.14,24.57%,161,"5,254",32.03%
83,JPM170217C00083000,4.37,4,4.1,0.62,16.53%,62,384,0.00%
83.5,JPM170217C00083500,3.1,3.55,3.65,0,0.00%,6,221,0.00%
84,JPM170217C00084000,4.6,4.1,4.2,1.35,41.54%,41,810,24.81%